error,numSignals,selectSignal,samples,doas
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.3839724354387526]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.01745329251994332, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.43633231299858233, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.43633231299858233, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.43633231299858233, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.45378560551852565, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.43633231299858233, 0.0, 0.4014257279586959]"
False,3,1,10000,"[-0.43633231299858233, 0.0, 0.4014257279586959]"
