error,numSignals,selectSignal,samples,doas
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
False,1,0,10000,[0.0]
